timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1571947163928,674,Pessoa,200,OK,Scenario 1 1-100,text,true,,272,389,100,100,http://localhost:3333/pessoa,674,0,1
1571947163878,1483,Pessoa,200,OK,Scenario 1 1-99,text,true,,272,389,100,100,http://localhost:3333/pessoa,1482,0,1
1571947163828,1533,Pessoa,200,OK,Scenario 1 1-98,text,true,,272,389,100,100,http://localhost:3333/pessoa,1533,0,1
1571947163727,2415,Pessoa,200,OK,Scenario 1 1-96,text,true,,272,389,100,100,http://localhost:3333/pessoa,2415,0,2
1571947163777,2366,Pessoa,200,OK,Scenario 1 1-97,text,true,,272,389,100,100,http://localhost:3333/pessoa,2365,0,1
1571947163677,2466,Pessoa,200,OK,Scenario 1 1-95,text,true,,272,389,100,100,http://localhost:3333/pessoa,2466,0,1
1571947163578,3426,Pessoa,200,OK,Scenario 1 1-93,text,true,,272,389,100,100,http://localhost:3333/pessoa,3426,0,1
1571947163628,3377,Pessoa,200,OK,Scenario 1 1-94,text,true,,272,389,100,100,http://localhost:3333/pessoa,3377,0,1
1571947164610,2396,Pessoa sem cache,200,OK,Scenario 1 1-100,text,true,,244,399,100,100,http://localhost:3333/pessoa/sem-cache,2396,0,0
1571947163478,4314,Pessoa,200,OK,Scenario 1 1-91,text,true,,272,389,100,100,http://localhost:3333/pessoa,4314,0,1
1571947163428,4376,Pessoa,200,OK,Scenario 1 1-90,text,true,,272,389,100,100,http://localhost:3333/pessoa,4376,0,1
1571947163527,4286,Pessoa,200,OK,Scenario 1 1-92,text,true,,272,389,100,100,http://localhost:3333/pessoa,4286,0,1
1571947163326,4488,Pessoa,200,OK,Scenario 1 1-88,text,true,,272,389,100,100,http://localhost:3333/pessoa,4488,0,2
1571947163176,4638,Pessoa,200,OK,Scenario 1 1-85,text,true,,272,389,100,100,http://localhost:3333/pessoa,4638,0,1
1571947163028,4786,Pessoa,200,OK,Scenario 1 1-82,text,true,,272,389,100,100,http://localhost:3333/pessoa,4786,0,1
1571947162777,5037,Pessoa,200,OK,Scenario 1 1-77,text,true,,272,389,100,100,http://localhost:3333/pessoa,5037,0,1
1571947162678,5137,Pessoa,200,OK,Scenario 1 1-75,text,true,,272,389,100,100,http://localhost:3333/pessoa,5137,0,1
1571947162328,5488,Pessoa,200,OK,Scenario 1 1-68,text,true,,272,389,100,100,http://localhost:3333/pessoa,5488,0,1
1571947163228,4589,Pessoa,200,OK,Scenario 1 1-86,text,true,,272,389,100,100,http://localhost:3333/pessoa,4588,0,2
1571947163078,4739,Pessoa,200,OK,Scenario 1 1-83,text,true,,272,389,100,100,http://localhost:3333/pessoa,4739,0,2
1571947162827,4990,Pessoa,200,OK,Scenario 1 1-78,text,true,,272,389,100,100,http://localhost:3333/pessoa,4990,0,1
1571947166143,1674,Pessoa sem cache,200,OK,Scenario 1 1-96,text,true,,244,399,100,100,http://localhost:3333/pessoa/sem-cache,1674,0,2
